Ortsname                          Breite    Laenge
Bahrdorf                          52n23     11e0
Baienfurt                         47n49     9e38
Baiersbronn                       48n30     8e22
Baiersdorf                        49n39     11e1
Bakum                             52n45     8e11
Balbini                           49n18     12e26
Baldenburg                        53n54     16e51
Balderschwang                     47n28     10e6
Balduinstein                      50n20     7e58
Balingen                          48n16     8e51
Ballenstedt                       51n43     11e14
Baltijsk                          54n39     19e55
Balve                             51n20     7e51
Bamberg                           49n53     10e53
Banie                             53n8      14e38
Bannesdorf                        54n28     11e13
Bannewitz                         51n0      13e43
Banteln                           52n4      9e44
Barbis                            51n37     10e25
Barby                             51n58     11e53
Barczewo                          53n50     20e42
Bardowick                         53n18     10e23
Barenburg                         52n37     8e47
Bargteheide                       53n44     10e16
Barkelsby                         54n30     9e50
Barleben                          52n12     11e37
Barlinek                          53n0      15e12
Barmstedt                         53n47     9e46
Barneberg                         52n8      11e3
Barnowko                          52n48     14e45
Barnstorf                         52n42     8e30
Barntrup                          51n59     9e6
Barrien                           52n56     8e49
Barsinghausen                     52n18     9e27
Barssel                           53n10     7e44
Bartenstein                       49n21     9e53
Barth                             54n22     12e43
Bartoszyce                        54n16     20e49
Baruth                            52n3      13e30
Barver                            52n37     8e35
Barwice                           53n45     16e22
Basdahl                           53n26     8e59
Basdorf BRD                       51n12     8e58
Basdorf DDR                       52n44     13e26
Bassen                            53n4      9e4
Bassenheim                        50n21     7e27
Bassum                            52n51     8e43
Battenberg                        51n1      8e38
Bauernschaft                      51n34     6e33
Baumberg                          51n7      6e54
Baumholder                        49n37     7e20
Baunach                           49n59     10e50
Baunatal                          51n16     9e25
Bausendorf                        50n1      6e59
Bausenhagen                       51n31     7e48
Bautzen                           51n11     14e26
Bayerisch Eisenstein              49n7      13e12
Bayreuth                          49n57     11e35
Bayrischzell                      47n40     12e0
Bebenhausen                       48n33     9e3
Bebertal                          52n15     11e18
Bebra                             50n58     9e47
Bechhofen                         49n9      10e33
Becke                             51n24     7e47
Beckum                            51n45     8e2
Bedburdyck                        51n7      6e34
Bedburg                           50n59     6e35
Bedburg-Hau                       51n45     6e10
Bederkesa                         53n38     8e50
Beedenbostel                      52n38     10e16
Beelen                            51n55     8e7
Beelitz                           52n14     12e58
Beendorf                          52n14     11e5
Beerfelden                        49n34     8e58
Beesenlaubingen                   51n42     11e41
Beeskow                           52n10     14e14
Beesten                           52n26     7e30
Beetzendorf                       52n42     11e5
Behringen BRD                     53n7      9e58
Behringen DDR                     51n1      10e31
Beierfeld                         50n33     12e47
Beiersdorf                        52n42     13e47
Beilngries                        49n2      11e29
Beilrode                          51n35     13e3
Beilstein an der Mosel            50n6      7e14
Beilstein bei Heilbronn           49n2      9e18
Beilstein im Westerwald           50n36     8e14
Belecke                           51n29     8e20
Belgern                           51n29     13e7
Belgrad                           54n1      16e0
Bellhausen                        50n42     8e43
Bellheim                          49n11     8e16
Belzig                            52n8      12e35
Bendorf                           50n25     7e34
Benediktbeuern                    47n42     11e25
Benken                            52n10     12e38
Benndorf                          51n34     11e29
Benneckenstein                    51n40     10e45
Bennigsen                         52n14     9e40
Bennstedt                         51n29     11e49
Bensberg                          50n58     7e9
Bensdorf                          52n24     12e20
Bensersiel                        53n40     7e34
Benshausen                        50n38     10e35
Bensheim                          49n41     8e37
Bentheim                          52n17     7e10
Beratzhausen                      49n6      11e48
Berau                             47n2      8e15
Berching                          49n7      11e27
Berchtesgaden                     47n38     13e1
Berchum                           51n23     7e32
Berg                              47n58     11e21
Berga bei Gera                    51n27     11e0
Berga bei Sangerhausen            50n45     12e10
Berge in Mecklenburg              53n15     11e50
Berge in Niedersachsen            52n37     7e44
Berge in Westfalen                51n21     7e22
Bergen auf Ruegen                 54n25     13e26
Bergen bei Soltau                 52n48     9e58
Bergen bei Traunstein             47n48     12e35
Bergen bei Uelzen                 52n53     10e58
Bergerhof                         51n12     7e21
Bergfelde                         52n40     13e19
Berggiesshuebel                   50n52     13e57
Bergham                           49n12     12e17
Berghausen bei Langenfeld         51n7      6e55
Berghausen bei Schwelm            51n18     7e17
Bergheim                          50n55     6e38
Bergholz-Rehbruecke               52n20     13e5
Bergisch Gladbach                 50n59     7e7
Bergisch-Born                     51n9      7e15
Bergkamen                         51n38     7e38
Bergneustadt                      51n1      7e39
Bergrheinfeld                     50n0      10e10
Bergtheim                         49n54     10e4
Bergwitz                          51n48     12e35
Beringhausen                      51n24     8e46
Berkheim                          48n2      10e4
Berlin                            52n30     13e24
Berlinchen                        53n13     12e34
Bernau am Chiemsee                47n48     12e22
Bernau bei Berlin                 52n40     13e35
Bernbeuren                        47n44     10e46
Bernburg                          51n48     11e44
Berne                             53n11     8e29
Berneburg                         51n4      9e53
Bernkastel-Kues                   49n55     7e4
Bernried am Starnberger See       47n52     11e17
Bernried im Oberpfalzer Wald      49n19     12e33
Bernrieth                         49n34     12e17
Bernsbach                         50n34     12e46
Bernsdorf                         51n22     14e4
Bernsfelden                       49n34     9e53
Bernstadt                         51n3      14e50
Bernstadt                         51n8      17e32
Bernstein                         49n50     12e9
Bernstein                         53n3      15e18
Berolzheim                        49n28     9e32
Bersenbrueck                      52n33     7e56
Berthelsdorf                      51n5      14e13
Bertkow                           52n43     11e54
Bertlich                          51n37     7e4
Besenfeld                         48n35     8e25
Besigheim                         49n0      9e8
Besse                             51n13     9e23
Besten                            51n39     6e54
Bestensee                         52n15     13e37
Betzdorf                          50n47     7e53
Betzenstein                       49n41     11e25
Beucha                            51n19     12e34
Beuel                             50n38     7e14
Beuron                            48n3      8e58
Beuthen                           50n22     18e54
Bevensen                          53n5      10e34
Bevern                            51n51     9e29
Beverstedt                        53n26     8e49
Beverungen                        51n39     9e22
Biala                             50n23     17e40
Biala Piska                       53n37     22e4
Bialograd                         54n1      16e0
Bialy Bor                         53n54     16e51
Biberach                          48n20     8e2
Biberach an der Riss              48n6      9e47
Biberbach                         48n31     10e48
Biblis                            49n41     8e27
Bichl                             47n43     11e24
Bickenbach                        49n45     8e37
Biebelried                        49n46     10e4
Bieber                            50n9      9e19
Biedenkopf                        50n55     8e32
Biederitz                         52n9      11e43
Bielawa                           50n41     16e38
Bielefeld                         52n1      8e31
Bielin                            52n47     14e28
Biemenhorst                       51n49     6e36
Bienenbuettel                     53n8      10e29
Biere                             51n58     11e39
Bierun Stary                      50n6      19e6
Bierutow                          51n8      17e32
Biesenthal                        52n46     13e37
Bietigheim an der Enz             48n58     9e7
Bietigheim bei Karlsruhe          48n54     8e14
Bigge                             51n21     8e28
Billerbeck                        51n59     7e17
Billigheim                        49n21     9e15
Billmerich                        51n30     7e47
Bilshausen                        51n37     10e10
Binau                             49n22     9e4
Bindlach                          49n59     11e37
Bindow                            52n17     13e45
Bingen                            49n57     7e54
Bingerbrueck                      49n58     7e53
Binsheim                          51n31     6e42
Binz                              54n24     13e26
Birkenfeld an der Nahe            49n39     7e10
Birkenfeld bei Pforzheim          48n52     8e38
Birkenfeld im Spessart            49n51     9e42
Birkenwerder bei Berlin           52n41     13e16
Birkesdorf                        50n49     6e28
Birkholz                          52n38     13e34
Birstein                          50n21     9e19
Birten                            51n38     6e29
Bischofsburg                      53n52     20e58
Bischofsheim bei Mainz            49n59     8e22
Bischofsheim in der Rhoen         50n24     10e1
Bischofstal                       50n24     18e22
Bischofstein                      54n6      20e55
Bischofswerda                     51n7      14e10
Bischofswiesen                    47n39     12e57
Bisingen                          48n18     8e55
Biskupiec                         53n52     20e58
Bislich                           51n41     6e29
Bismark                           52n39     11e32
Bispingen                         53n5      10e0
Bissendorf                        52n31     9e45
Bissingen                         48n43     10e37
Bisten                            49n15     6e42
Bisztynek                         54n6      20e55
Bitburg                           49n58     6e31
Bitterfeld                        51n37     12e20
Blaichach                         47n34     10e15
Blankenburg                       51n48     10e58
Blankenfelde                      52n20     13e23
Blankenhain                       50n51     11e21
Blankenheim DDR                   51n31     11e25
Blankenheim in der Eifel          50n26     6e39
